cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
76088143,76093133,15,10923708,134
76088144,76093134,16,10923709,158
76088888,76093135,22,10923710,686
76088889,76093136,23,10923910,1043
76088930,76094604,24,10924000,1550
76095709,76096108,60,10924001,1719
76104831,76096109,61,10924002,1720
76104832,76096110,281,10924003,2140
76104833,76102860,282,10924555,2141
76104834,76105288,312,10924751,2142
76105359,76105289,437,10924760,2670
76108985,76105290,625,10924761,2671
76108986,76105291,626,10925007,2672
76108987,76105292,627,10925034,2673
76109019,76108926,794,10925035,2674
76113177,76110256,805,10925036,2814
76113178,76110257,893,10925037,2910
76113179,76110258,894,10925038,2963
76113180,76110259,895,10925039,2964
76113181,76110260,906,10925040,3064
76122882,76110261,907,10925240,3544
76122883,76110262,908,10925367,3745
76130408,76110263,1092,10925368,3746
76137462,76110264,1122,10925468,3747
76138847,76111199,1160,10925469,4101
76138848,76111200,1304,10925614,4102
76138849,76112265,1305,10925615,4205
76140016,76112266,1364,10925616,4206
76141086,76112267,1374,10925617,4444
76141087,76112268,1375,10925739,4445
76141088,76112347,1377,10925740,4988
76145477,76113188,1395,10925741,4989
76146900,76113189,1396,10925742,4990
76151849,76113190,1492,10925743,4991
76166126,76117660,1687,10926002,5024
76177628,76118850,1705,10926003,5025
76177629,76118851,1706,10926004,5026
76177630,76118852,1707,10926167,5047
76177631,76120409,1872,10926168,5554
76177632,76120410,1875,10926362,5770
76177633,76121907,1893,10926710,5771
76180082,76125457,1894,10926711,5885
76180083,76125984,2060,10926712,5886
76180716,76125985,2061,10927063,5887
76186183,76125986,2065,10927208,6183
76191421,76125987,2066,10927539,6184
76192079,76130249,2315,10927635,6185
76192080,76130250,2403,10927636,6207
76192081,76131350,2490,10927637,6249
76209025,76131351,2546,10927638,6250
76209026,76132258,2577,10927833,6251
76220843,76132900,2578,10927834,6704
76223421,76132901,2579,10927835,7257
76223422,76132902,2580,10928132,7708
76243380,76132903,2581,10928133,7709
76243381,76132904,2582,10928134,7710
76243382,76132905,2583,10928135,8127
76246523,76132906,2609,10928526,8128
76253955,76132907,2614,10928589,8168
76253956,76132908,2709,10928590,8201
76257440,76142984,2710,10928617,8281
76257484,76146129,2711,10928618,8282
76257485,76146130,2712,10928998,8445
76257486,76146131,2713,10929004,8978
76258292,76146132,2714,10929005,9018
76269887,76146133,2761,10929073,9019
76277934,76146436,2762,10929281,9087
76277935,76146437,2763,10929289,9094
76283651,76146438,3025,10929290,9541
76283652,76146439,3079,10929291,9542
76283653,76146440,3092,10929518,9585
76297471,76147823,3254,10929519,9715
76297472,76147824,3280,10929520,9716
76297473,76150944,3338,10929528,10014
76297474,76151632,3346,10929529,10371
76297475,76151633,3472,10929530,11067
76301017,76151634,3473,10929737,11100
76301018,76151635,3475,10929738,11101
76307368,76151636,3515,10929739,11102
76307369,76151878,3536,10929860,11103
76307370,76151879,3537,10929861,11470
76307371,76154019,3538,10929966,11500
76318671,76160310,3539,10929967,11678
76318672,76160311,3652,10930354,12339
76322561,76167737,3725,10930449,12362
76322562,76167738,3770,10930450,12363
76335689,76168036,3771,10930587,12428
76337601,76168037,3852,10930588,12429
76347083,76169542,3853,10930589,12430
76350002,76169543,3854,10930590,12573
76350003,76169565,3863,10931286,12759
76350004,76169566,3864,10931506,12760
76350114,76172007,3883,10931507,13345
76350115,76172008,3949,10931599,13346
76350116,76172009,3991,10931830,13356
76350117,76173589,3992,10931904,13357
76356708,76173590,4069,10931905,13926
76356709,76173591,4094,10932053,13927
76360057,76173592,4248,10932054,14078
76361334,76175433,4249,10932092,14623
76370596,76175923,4250,10932093,14624
76370597,76196961,4290,10932099,14744
76370598,76197693,4291,10932100,14814
76375695,76197694,4292,10932263,14986
76375696,76199267,4325,10932651,15391
76380209,76199268,4443,10932782,15586
76381248,76199398,4571,10932783,15587
76381749,76199399,4597,10932784,15725
76385794,76220206,4598,10932905,15726
76414957,76221831,4808,10932906,15727
76414958,76221832,4809,10932907,15728
76414959,76221833,4874,10932932,15811
76414960,76221834,4888,10933327,15812
76414961,76223987,4889,10933328,16564
76414962,76229253,5107,10933329,16572
76414963,76230310,5108,10933351,16573
76414964,76230311,5190,10933849,16765
76414965,76230747,5243,10933908,16836
76423756,76231946,5274,10933909,16837
76428939,76231947,5284,10934357,16838
76428940,76231948,5302,10934363,16880
76428941,76237378,5551,10934521,16881
76428942,76237379,5552,10934620,16882
76428943,76237863,5571,10934621,16883
76430312,76239736,5572,10934622,16884
76430485,76239737,5573,10935044,16885
76430486,76242273,5574,10935333,16973
76435011,76242274,5575,10935334,17151
76448566,76244375,5677,10935436,17195
76454358,76245910,5702,10935437,17196
76455761,76247229,5703,10935540,17197
76455762,76247230,5704,10935541,17373
76457170,76247231,5844,10935542,17374
76463365,76247232,5936,10935543,17400
76463366,76247233,5937,10935625,17548
76463367,76248417,5938,10935626,17549
76463368,76250166,5939,10935810,17550
76472650,76250167,5940,10935811,17551
76481933,76250168,5941,10935812,17552
76488668,76257643,5942,10935939,18167
76490800,76257644,5943,10935940,18168
76490801,76259871,6028,10935941,18169
76490802,76259872,6046,10935942,18529
76492882,76259873,6083,10935943,18530
76504287,76266780,6144,10936298,18531
76504288,76266781,6160,10936299,18598
76504289,76266782,6161,10936321,18870
76504290,76268948,6285,10936322,18871
76505033,76268949,6365,10936350,19041
76505501,76271571,6366,10936351,19042
76505502,76271572,6494,10936413,19043
76508016,76275535,6668,10936656,19044
76511371,76275540,6841,10936718,19130
76518992,76275579,6842,10936879,19748
76531102,76275580,6898,10936971,19749
76531103,76275656,6951,10937128,19762
76531104,76275833,6998,10937129,19763
76541456,76275834,7023,10937130,19764
76541457,76275835,7024,10937131,19777
76541458,76280269,7048,10937328,19778
76541459,76280270,7049,10937362,20289
76544827,76280271,7050,10937366,20290
76549611,76280272,7051,10937382,20326
76549612,76280362,7070,10937383,20327
76549613,76281376,7081,10937384,20328
76549614,76281377,7082,10937507,20329
76549892,76281378,7083,10937841,20336
76568571,76281379,7085,10937948,20482
76572292,76283027,7098,10937963,20483
76572293,76283028,7108,10937964,20540
76572294,76283029,7209,10937965,20541
76572295,76283030,7210,10937966,20812
76576834,76283031,7279,10938122,20845
76583982,76283032,7280,10938123,20850
76583991,76283599,7473,10938213,20851
76584173,76284161,7475,10938323,21094
76584174,76284518,7476,10938324,21095
76584175,76284519,7842,10938428,21383
76587743,76285216,7911,10938484,21384
76595693,76285217,7992,10938485,21385
76595694,76285218,7993,10938486,21386
76626653,76285219,7994,10938487,21507
76626654,76285220,8030,10938873,21508
76629021,76285221,8063,10938874,21509
76633431,76285222,8090,10938919,21510
76633432,76285223,8239,10939031,21952
76634815,76285551,8240,10939032,21953
76634816,76291217,8241,10940304,22071
76634817,76292737,8270,10940428,22273
76636754,76294419,8271,10940692,22415
76636755,76294420,8306,10940693,22416
76636756,76294421,8415,10940865,22417
76651321,76294422,8416,10940955,22512
76653164,76295309,8538,10940970,22513
76661553,76295310,8539,10940989,22514
76661554,76295311,8540,10940990,22515
76661555,76295312,8541,10940991,22582
76661556,76296301,8542,10941003,22583
76661557,76296302,8549,10941018,22584
76661558,76296303,8550,10941019,22585
76661559,76296304,8974,10941043,22875
76672182,76296305,8975,10941044,22876
76672183,76296859,9015,10941064,23225
76672211,76296878,9031,10941065,23226
76672212,76298377,9163,10941128,23227
76672213,76299292,9175,10941295,23228
76672214,76299293,9270,10941296,23405
76688836,76299294,9302,10941346,23580
76688837,76300375,9329,10941347,23581
76700062,76300376,9398,10941348,23582
76700063,76300377,9400,10941349,24013
76700064,76300437,9401,10941544,24014
76701300,76300438,9434,10941545,24069
76701301,76300439,9435,10941546,24070
76704646,76303376,9463,10941547,24071
76704647,76304382,9464,10941548,24072
76704648,76304383,9465,10942109,24173
76705714,76304384,9536,10942140,24174
76705715,76304385,9537,10942141,24175
76705730,76304399,9538,10942142,24312
76705731,76304400,9539,10942143,24313
76705732,76304401,9540,10942242,24639
76705733,76304402,9645,10942336,24640
76711089,76304403,9885,10942364,24959
76715330,76305805,9900,10942365,24960
76715331,76305806,9901,10942432,25383
76726254,76305807,10000,10942439,25384
76726255,76305808,10151,10942440,25611
76726632,76316549,10307,10942441,25612
76726633,76318411,10326,10942448,25613
76726634,76318412,10443,10942449,25667
76729797,76319360,10532,10942615,25893
76734804,76319361,10533,10942616,25911
76744424,76319362,10534,10942617,25967
76744981,76322204,10535,10942979,26003
76748666,76322205,10536,10943178,26004
76748667,76322206,10589,10943179,26011
76748668,76322321,10653,10943263,26012
76748669,76328458,10654,10943476,26172
76754897,76328459,10655,10943806,26268
76756813,76328460,10656,10943992,26317
76769299,76330358,10708,10943993,26359
76769300,76335161,10709,10943994,26360
76769301,76337000,10710,10944147,26374
76769302,76337001,10711,10944292,26838
76773795,76337002,10809,10944314,26839
76773796,76337003,10810,10944315,26840
76776856,76337004,10811,10944316,27157
76779940,76337005,10864,10944317,27251
76796987,76343545,10865,10944436,27306
76796988,76344571,10900,10944473,27828
76796989,76347020,10994,10944474,27844
76796990,76347021,10995,10944625,27893
76797942,76347022,10996,10944626,27894
76797943,76347023,11011,10944984,28148
76797944,76351310,11037,10944985,29141
76799619,76353051,11181,10945131,29142
76799620,76353052,11182,10945132,29220
76803154,76353053,11183,10945133,29651
76803155,76358949,11184,10945134,29671
76803156,76358950,11223,10945249,29672
76808625,76358951,11225,10945250,29673
76808626,76365182,11286,10945389,29695
76808627,76365183,11349,10945609,29742
76811961,76368469,11361,10945610,29743
76816307,76368470,11403,10945611,29771
76816308,76369813,11422,10945644,30073
76816309,76369814,11450,10945818,30074
76816310,76370924,11677,10945819,30075
76816311,76370925,11755,10945820,30235
76817692,76370926,11756,10945973,30487
76817693,76374724,11843,10946254,30619
76817694,76374725,11844,10946288,30620
76822030,76374726,11995,10946289,30621
76825610,76375537,11996,10946418,30622
76830655,76375538,11997,10946590,31561
76874742,76375539,12183,10946854,31719
76874743,76376698,12184,10947172,31720
76874747,76377766,12185,10947323,31755
76874748,76377767,12194,10947389,31756
76889751,76377768,12195,10947390,31757
76891461,76393729,12285,10947400,31913
76891462,76393730,12286,10947780,32060
76891463,76394531,12370,10947781,32061
76891464,76406330,12397,10948068,32062
76902217,76410366,12417,10948323,32122
76902218,76412211,12607,10948730,32123
76902219,76412212,12608,10948731,32228
76902220,76413089,12689,10948732,32781
76909581,76413090,12697,10949298,32822
76920620,76413091,12737,10949300,32823
76920621,76413092,12802,10949398,33052
76920622,76413093,12808,10949579,33053
76920623,76413094,13019,10949641,33055
76932616,76419074,13025,10949746,33056
76932617,76420961,13067,10949747,33057
76932618,76422392,13070,10949748,33233
76933764,76423016,13071,10949749,33234
76933765,76423017,13072,10949750,33260
76933766,76423018,13099,10949856,33261
76934280,76423019,13126,10949857,33271
76934281,76428129,13127,10949858,33453
76934282,76429708,13128,10950160,33454
76934283,76433266,13154,10950472,33519
76934284,76433267,13155,10950535,33904
76938555,76433268,13157,10950536,34096
76938556,76433269,13253,10950876,34599
76938557,76433270,13314,10950877,34600
76938558,76433271,13391,10951262,34797
76948752,76433272,13392,10951454,34798
76948753,76433273,13393,10951540,34932
76948754,76440491,13394,10951541,35000
76948755,76445808,13395,10951936,35001
76956827,76445809,13396,10951937,35023
76956828,76447042,13397,10952294,35040
76982038,76447043,13398,10952483,35083
77008873,76452373,13399,10952674,35195
77008874,76452374,13400,10953185,35305
77009987,76454205,13401,10953186,35306
77010006,76457388,13402,10953187,35307
77011615,76458073,13403,10953188,35335
77018139,76464632,13404,10953189,35336
77018634,76468560,13405,10953698,35337
77018635,76474495,13500,10953699,35593
77018636,76474496,13552,10953700,35771
77040671,76474497,13553,10954056,36276
77040672,76474498,13554,10954057,36277
77046315,76482109,13555,10954556,36399
77046316,76482110,13603,10954696,36575
77046317,76482111,13637,10954697,36833
77046318,76482112,13683,10955064,36834
77046319,76483495,13684,10955082,36865
77046320,76483849,13880,10955325,36878
77046574,76483850,13947,10955326,36879
77046575,76483851,13948,10955457,36880
77047658,76483852,14206,10955825,36926
77047659,76483861,14274,10955951,36927
77047660,76483862,14301,10956009,36977
77047661,76483863,14302,10956307,37048
77047662,76483864,14371,10956343,37058
77047663,76483865,14393,10956344,37638
77055862,76483866,14439,10956345,37639
77055863,76483917,14440,10956983,37640
77060596,76483918,14455,10957002,37793
77060973,76483919,14456,10957012,37858
77078887,76483920,14457,10957479,37859
77078888,76486329,14458,10957554,37905
77078889,76486330,14459,10957555,37906
77078890,76486331,14460,10957664,37907
77079893,76486332,14461,10957665,38423
77079894,76486333,14462,10957811,38460
77079895,76486334,14463,10957973,38750
77090594,76486335,14464,10957974,38939
77090595,76486336,14465,10957975,38940
77090596,76486337,14491,10957976,39085
77105977,76486743,14605,10957977,39385
77105978,76488614,14606,10957978,39433
77107060,76495539,14628,10957990,39434
77107061,76495911,14629,10957991,39435
77108279,76496644,14641,10957992,39436
77109090,76498500,14690,10957993,39698
77109091,76500366,14691,10958017,39699
77109092,76500367,14692,10958212,39700
77109093,76500368,14723,10958213,40071
77114424,76503861,14724,10958214,40170
77116654,76503862,14727,10958215,40410
77124938,76505165,14941,10958216,40411
77128231,76510217,14960,10958217,40510
77129516,76512064,15001,10958218,40511
77129517,76517105,15002,10958614,40537
77129518,76517106,15003,10958859,40575
77135429,76517107,15004,10958860,40576
77137920,76517108,15156,10958861,40577
77137921,76517109,15250,10958862,40578
77137922,76524599,15251,10958863,40599
77144510,76524600,15330,10958977,40600
77144511,76526098,15331,10958978,40601
77144512,76526099,15332,10958979,40868
77144586,76526986,15375,10958980,40869
77144587,76526987,15501,10959116,40904
77144588,76526988,15502,10959177,40905
77148835,76526989,15636,10959238,40906
77148836,76527111,15668,10959239,40909
77149235,76529403,15730,10959882,40925
77150629,76530561,15851,10959999,40926
77157591,76530562,15889,10960000,40939
77174581,76530563,15890,10960093,40978
77176130,76530564,15961,10960094,41080
77176131,76538571,15962,10960095,41437
77179174,76540649,16168,10960096,41499
77205164,76540650,16178,10960168,41514
77205208,76540651,16179,10960362,41515
77205209,76541600,16211,10960647,41610
77209628,76541747,16212,10960648,41611
77209629,76541748,16327,10960649,41689
77209630,76542121,16351,10960678,42299
77209631,76542122,16372,10960719,42539
77215812,76542123,16373,10960720,42540
77215813,76545643,16394,10960721,42541
77215850,76545644,16409,10960722,42577
77216772,76545645,16410,10960723,42740
77216773,76547407,16411,10960761,42741
77216774,76547408,16412,10960999,43105
77231364,76547409,16591,10961000,43335
77231365,76547410,16660,10961001,43596
77231366,76548210,16661,10961146,43597
77240284,76548211,16669,10961180,43612
77253810,76548212,16710,10961209,43613
77253811,76548213,16805,10961210,43699
77253812,76548214,16806,10961211,43795
77254966,76548215,16908,10961454,43796
77254967,76548216,16982,10961455,43830
77258795,76548217,17042,10961456,43831
77258796,76548218,17124,10961457,43832
77258797,76548219,17229,10961494,44153
77258798,76548220,17230,10961495,44154
77258799,76548221,17231,10961496,44301
77258800,76548222,17310,10961497,44302
77264589,76548223,17470,10961585,44303
77269988,76548224,17471,10961661,44612
77288052,76548612,17472,10962632,44668
77288053,76548613,17494,10962651,44827
77293180,76548915,17497,10962661,44828
77293181,76548916,17532,10962816,44880
77300833,76549863,17533,10962882,44996
77307900,76549864,17544,10963225,45045
77315493,76549865,17545,10963284,46203
77317555,76549866,17694,10963391,46204
77323018,76549867,17695,10963543,46619
77323019,76549868,17696,10963544,47211
77323020,76549869,17697,10963834,47212
77323021,76554669,17744,10963882,47213
77323022,76554670,17918,10963883,47445
77329456,76554671,17919,10963884,47478
77338656,76556269,17980,10963885,47479
77347804,76561052,18022,10963886,47480
77347805,76562467,18114,10963887,47704
77347806,76569462,18115,10963888,47754
77347807,76574657,18141,10963948,48131
77347808,76574658,18318,10963966,48201
77347809,76581701,18319,10964171,48202
77347810,76585513,18320,10964172,48203
77347811,76586112,18371,10964363,48488
77347812,76586113,18399,10964364,48617
77347813,76586114,18400,10964365,48820
77348618,76586115,18401,10964366,48821
77354534,76589384,18471,10964655,48822
77354535,76589385,18472,10964656,48823
77354536,76589386,18473,10964657,48824
77362587,76589387,18504,10964658,49221
77362588,76589388,18527,10964659,49419
77362589,76591241,18559,10964773,49784
77362590,76591518,18563,10964774,49785
77362591,76598105,18564,10964775,49786
77362592,76598106,18565,10964776,49787
77380410,76598107,18569,10964785,49788
77387211,76598108,18811,10964786,49795
77405465,76599639,18895,10964815,49796
77414964,76601516,18896,10964942,49837
77415212,76601604,18897,10964943,49850
77415213,76601605,19058,10965038,49851
77420857,76601606,19106,10965039,50280
77420858,76601607,19133,10965040,50281
77420859,76604273,19142,10965084,50334
77420860,76608795,19182,10965085,50335
77420861,76608796,19324,10965136,50557
77420862,76608797,19325,10965849,50561
77440790,76608798,19376,10965850,50562
77440791,76608799,19408,10965851,50916
77440792,76609215,19409,10965852,50917
77440812,76609216,19629,10965853,50918
77440813,76609217,19816,10965854,50942
77443965,76612111,19817,10965855,50943
77443966,76613288,19935,10965856,50952
77443967,76613289,19954,10965902,51362
77443968,76616903,19993,10965903,51611
77445085,76619937,19994,10965904,51785
77445086,76621098,19995,10965905,51786
77450946,76621160,19996,10966049,51793
77450947,76621161,20054,10966166,51826
77450948,76621162,20089,10966204,51850
77452874,76621163,20102,10966205,51851
77452875,76621164,20103,10966770,51852
77452876,76621165,20132,10966771,51853
77454983,76621166,20133,10966819,52044
77454984,76621167,20147,10966891,52059
77454985,76622236,20220,10966894,52276
77454986,76623667,20221,10966895,52323
77454987,76623668,20233,10966896,52492
77460352,76623669,20238,10966897,52493
77461217,76623670,20239,10966898,52836
77467823,76623671,20240,10966899,52874
77469553,76623672,20250,10967021,52912
77469554,76623691,20251,10967081,52913
77469555,76623692,20269,10967082,52914
77469556,76623693,20332,10967160,52947
77480102,76623694,20348,10967161,53270
77483124,76624365,20549,10967162,53271
77483125,76624433,20550,10967467,53290
77483126,76624790,20562,10967565,53742
77483127,76624791,20679,10967747,53743
77483128,76624946,20680,10968170,53744
77483129,76624947,20715,10968171,53756
77487089,76624948,20716,10968172,54193
77491349,76624949,20879,10968315,54258
77491350,76624950,20882,10968575,54259
77491351,76624951,20914,10968576,54260
77491352,76624952,20915,10969002,54261
77493513,76627098,20994,10969003,54281
77504810,76627099,21051,10969118,54702
77504811,76627100,21052,10969119,54703
77504812,76627101,21172,10969120,54704
77504966,76631309,21199,10969130,54780
77504967,76631310,21200,10969175,54877
77513710,76631311,21201,10969322,55123
77513711,76634635,21202,10969586,55355
77513736,76634636,21203,10969875,55510
77513737,76636671,21251,10970122,55511
77513738,76636672,21252,10970482,56199
77513739,76636673,21253,10971026,56200
77513740,76637244,21326,10971027,56201
77513741,76637245,21327,10971219,56202
77514419,76637246,21398,10971220,56203
77538532,76637247,21399,10971394,56204
77538533,76640125,21400,10971395,56205
77538534,76642638,21401,10971603,56644
77541254,76642639,21411,10971604,56696
77541255,76642640,21536,10971605,57238
77541256,76642641,21702,10971606,57261
77541257,76647483,21796,10971607,57262
77541258,76647484,21824,10971608,57263
77542455,76649235,21921,10971609,57264
77544017,76649236,21922,10971735,57438
77544018,76649237,21929,10971988,57439
77544019,76650120,21937,10972024,57448
77545804,76652805,22018,10972212,57449
77545805,76652806,22101,10972373,57666
77545806,76652807,22164,10972715,57684
77545807,76653864,22165,10972716,57685
77545808,76653872,22308,10972717,57728
77574321,76657751,22309,10972718,57947
77579447,76657752,22496,10972719,57948
77579448,76657753,22497,10973055,57949
77579449,76657754,22498,10973125,58295
77596426,76657755,22638,10973126,58359
77603767,76663785,22639,10973127,58360
77603768,76665687,22669,10973128,58361
77603769,76665688,23010,10973143,58362
77603770,76665689,23038,10973170,58363
77612190,76675213,23179,10973616,58619
77614515,76675214,23180,10973617,58620
77614516,76676286,23297,10973618,58821
77616096,76676287,23298,10973672,59256
77616097,76676288,23299,10973944,59257
77616098,76676289,23329,10974053,59258
77616099,76676290,23426,10974054,59672
77616100,76676291,23427,10974149,59681
77616101,76676292,23536,10974206,59682
77616102,76678828,23657,10974207,59683
77616103,76678829,23807,10974939,59684
77619213,76678830,23808,10974973,59685
77619214,76681247,23878,10974974,59745
77619215,76681248,23879,10974997,59746
77623862,76682228,23895,10975107,59747
77623863,76682229,23965,10975430,59886
77629960,76682230,23966,10975431,60057
77629961,76684843,23990,10975553,60058
77629962,76684844,24148,10975604,60139
77629963,76684845,24149,10975883,60140
77629964,76684846,24150,10975917,60141
77629965,76684880,24151,10976100,60590
77633785,76684881,24152,10976334,60591
77633786,76686394,24221,10976335,60592
77633787,76686395,24222,10976496,60593
77634705,76686396,24250,10976556,60597
77634706,76686397,24289,10976593,60598
77634707,76686398,24290,10976594,60599
77664557,76686399,24291,10977084,60687
77673865,76693045,24292,10977085,60688
77673866,76693046,24293,10977204,60689
77673867,76693047,24294,10977205,60752
77673868,76693048,24295,10977270,60766
77683743,76693049,24296,10977271,60992
77685629,76693080,24612,10977272,60993
77685630,76693081,24839,10977456,61029
77685833,76693082,25049,10977457,61265
77685834,76696852,25050,10977645,61561
77685835,76696853,25124,10977646,61581
77685836,76699566,25239,10977647,61606
77685837,76699567,25304,10977708,61980
77685860,76699568,25306,10977805,61981
77685861,76702262,25732,10978056,61982
77689182,76702263,25736,10978057,62056
77692308,76702264,25737,10978223,62059
77692309,76712260,25805,10978224,62263
77696480,76712261,25980,10978225,62264
77696865,76712262,25981,10978267,62265
